Elongation [mm],Lode angle
0.378,-0.6886767988034241
0.372,-0.6867683771121694
0.366,-0.6847035400423901
0.36,-0.682522795363899
0.354,-0.6802092647727703
0.348,-0.6777979557723811
0.342,-0.6752775417261303
0.336,-0.6726816331949406
0.33,-0.6699995174762203
0.324,-0.6672419503459998
0.318,-0.6644378025303656
0.312,-0.6615635183368194
0.306,-0.6586639676580512
0.3,-0.6556960153836519
0.294,-0.6526981428392626
0.288,-0.6496787659081261
0.282,-0.646614080902198
0.276,-0.6435444654916073
0.27,-0.6404480668011062
0.264,-0.6373421756828408
0.258,-0.634241839592507
0.252,-0.631131211914352
0.246,-0.6280191648776261
0.24,-0.6249166803301563
0.234,-0.6218146046092571
0.228,-0.6187209076929626
0.222,-0.6156399224756516
0.216,-0.6125657859749342
0.21,-0.6095060106501449
0.204,-0.6064690671177919
0.198,-0.6034537680214318
0.192,-0.6004586579655513
0.186,-0.5974961827377342
0.18,-0.5945609215181052
0.174,-0.5916668785915917
0.168,-0.5888101651176407
0.162,-0.5859673469717034
0.156,-0.5831774554218888
0.15,-0.5804091474484492
0.144,-0.5776676771558709
0.138,-0.5749672768907084
0.132,-0.5722951292042172
0.126,-0.5696480043002421
0.12,-0.5670281630756203
0.114,-0.5644120062634912
0.108,-0.5618213529339134
0.102,-0.5592414742385187
0.096,-0.5566763956234773
0.09,-0.5541118292077366
0.084,-0.5515562654645403
0.078,-0.5490103354631256
0.072,-0.5464714606950075
0.066,-0.5439416896855495
